set,instance,H0,H1,S0,S1,C0,C1,H0||C0,H0||C1,H1||C0,H1||C1,S0||C0,S0||C1,S1||C0,S1||C1,H1->C0@25%,H1->C0@50%,C0->H1@25%,C0->H1@50%
miplib,sp150x300d,0.00021375462209517268,0.00021569910869133514,0.0003609248736607603,0.0004210813956319409,0.0246205213458742,0.012800017287298572,0.00021375462209517268,0.00021375462209517268,0.00021569910869133514,0.00021569910869133514,0.0003609248736607603,0.0003609248736607603,0.0004210813956319409,0.0004210813956319409,0.00021569910869133514,0.00021569910869133514,0.0246205213458742,0.0246205213458742
miplib,supportcase42,0.8079444305684074,0.807790047947256,0.09092994096052202,0.0847929788920156,0.5694257450538353,0.5958244920149447,0.5691711172581057,0.5955787674546316,0.5690167346369541,0.5954243848334801,0.08100602387745932,0.08099712064223598,0.07610670405303636,0.07609780081781303,0.6346228032443845,0.7002288718518146,0.5694257450538353,0.5694257450538353
miplib,traininstance6,0.07545007377909295,0.06401126859296519,0.36176856348787645,0.45229498334297735,0.08764511530973028,0.08616794293356782,0.04124664410844739,0.03933167722928616,0.037777180077074514,0.035199318846945535,0.08764511530973028,0.08616794293356782,0.08524422206172608,0.08425808402309747,0.06664784013994185,0.06401126859296519,0.053044355649593596,0.06831153122211268
miplib,neos-3754480-nidda,0.08351737996285026,0.11065614680996357,0.062059759611593254,0.004799501792597221,0.07638116489011765,0.0860187160401275,0.05275725681467616,0.06420595460628377,0.053216002354599855,0.06469957580461834,0.045388703320563946,0.05490482796868774,0.004799501792597221,0.004799501792597221,0.07097402486832347,0.08873204738204711,0.07638116489011765,0.07638116489011765
miplib,cod105,0.5836439952948107,0.35022302312640774,0.25127842459931143,0.20705181632203876,0.00922674386674771,0.0107468591196165,0.00922674386674771,0.0107468591196165,0.00922674386674771,0.0107468591196165,0.00922674386674771,0.0107468591196165,0.00922674386674771,0.0107468591196165,0.22750538412090263,0.350223023126379,0.00922674386674771,0.00922674386674771
miplib,opm2-z10-s4,1.0,1.0,0.6038318849920219,0.6220925831794154,0.20210572576768732,0.18582825409574022,0.20210572576768732,0.18582825409574022,0.20210572576768732,0.18582825409574022,0.20210572576768732,0.18582825409574022,0.20210572576768732,0.18582825409574022,0.4161718874548112,0.6236906929423723,0.22073889973749417,0.21586358662718402
miplib,neos-4763324-toguru,0.7827939613932302,0.7808366074101019,0.7929086282388982,0.7817349161792815,0.6837544943435863,0.6999964212136315,0.6837544943435863,0.6999964212136315,0.6837544943435863,0.6999964212136315,0.6837544943435863,0.6999964212136315,0.6828649631967408,0.698887486996915,0.7317222295714678,0.7497075349052594,0.6848296483265308,0.6848296483265308
miplib,cbs-cta,1.0,0.8476461372183015,0.4839234030844333,0.6762111983669457,0.19747006199904718,0.16790755963302217,0.19747006199904718,0.16790755963302217,0.19747006199904718,0.16790755963302217,0.19747006199904718,0.16790755963302217,0.19747006199904718,0.16790755963302217,0.44747006199904715,0.6974700619990472,0.19747006199904718,0.19747006199904718
miplib,binkar10_1,0.0015675882485994366,0.0019965120379625756,0.004542337524413216,0.002528947008725617,0.019545059290016667,0.02910495230192761,0.0015675882485994366,0.0015675882485994366,0.0019965120379625756,0.0019965120379625756,0.004388167191395757,0.004542337524413216,0.002528947008725617,0.002528947008725617,0.0020923682764583088,0.0019965120379625756,0.018502943115076536,0.019080038961535054
miplib,glass-sc,0.08456890208028153,0.09222315473666064,0.01352459931227303,0.03918272103717018,0.0065592752320334366,0.015710615605605643,0.005510636414893907,0.013012449904199462,0.005974019127473703,0.01350650084213261,0.0019098658713583461,0.004675121426037791,0.0024499799025506056,0.005215235457230049,0.09190435072138453,0.09222315473666064,0.0065592752320334366,0.0065592752320334366
